country,continent,year,pop
Bosnia and Herzegovina,Europe,2002,4165416
Bosnia and Herzegovina,Europe,2007,4552198
Botswana,Africa,1952,442308
Botswana,Africa,1957,474639
Botswana,Africa,1962,512764
Botswana,Africa,1967,553541
Botswana,Africa,1972,619351
Botswana,Africa,1977,781472
Botswana,Africa,1982,970347
Botswana,Africa,1987,1151184
Botswana,Africa,1992,1342614
Botswana,Africa,1997,1536536
Botswana,Africa,2002,1630347
Botswana,Africa,2007,1639131
Brazil,Americas,1952,56602560
Brazil,Americas,1957,65551171
Brazil,Americas,1962,76039390
Brazil,Americas,1967,88049823
Brazil,Americas,1972,100840058
Brazil,Americas,1977,114313951
Brazil,Americas,1982,128962939
Brazil,Americas,1987,142938076
Brazil,Americas,1992,155975974
Brazil,Americas,1997,168546719
Brazil,Americas,2002,179914212
Brazil,Americas,2007,190010647
Bulgaria,Europe,1952,7274900
Bulgaria,Europe,1957,7651254
Bulgaria,Europe,1962,8012946
Bulgaria,Europe,1967,8310226
Bulgaria,Europe,1972,8576200
Bulgaria,Europe,1977,8797022
Bulgaria,Europe,1982,8892098
Bulgaria,Europe,1987,8971958
Bulgaria,Europe,1992,8658506
Bulgaria,Europe,1997,8066057
Bulgaria,Europe,2002,7661799
Bulgaria,Europe,2007,7322858
Burkina Faso,Africa,1952,4469979
Burkina Faso,Africa,1957,4713416
Burkina Faso,Africa,1962,4919632
Burkina Faso,Africa,1967,5127935
Burkina Faso,Africa,1972,5433886
Burkina Faso,Africa,1977,5889574
Burkina Faso,Africa,1982,6634596
Burkina Faso,Africa,1987,7586551
Burkina Faso,Africa,1992,8878303
Burkina Faso,Africa,1997,10352843
Burkina Faso,Africa,2002,12251209
Burkina Faso,Africa,2007,14326203
Burundi,Africa,1952,2445618
Burundi,Africa,1957,2667518
Burundi,Africa,1962,2961915
Burundi,Africa,1967,3330989
Burundi,Africa,1972,3529983
Burundi,Africa,1977,3834415
Burundi,Africa,1982,4580410
Burundi,Africa,1987,5126023
Burundi,Africa,1992,5809236
Burundi,Africa,1997,6121610
Burundi,Africa,2002,7021078
Burundi,Africa,2007,8390505
Cambodia,Asia,1952,4693836
Cambodia,Asia,1957,5322536
Cambodia,Asia,1962,6083619
Cambodia,Asia,1967,6960067
Cambodia,Asia,1972,7450606
Cambodia,Asia,1977,6978607
Cambodia,Asia,1982,7272485
Cambodia,Asia,1987,8371791
Cambodia,Asia,1992,10150094
Cambodia,Asia,1997,11782962
Cambodia,Asia,2002,12926707
Cambodia,Asia,2007,14131858
Cameroon,Africa,1952,5009067
Cameroon,Africa,1957,5359923
Cameroon,Africa,1962,5793633
Cameroon,Africa,1967,6335506
Cameroon,Africa,1972,7021028
Cameroon,Africa,1977,7959865
Cameroon,Africa,1982,9250831
Cameroon,Africa,1987,10780667
Cameroon,Africa,1992,12467171
Cameroon,Africa,1997,14195809
Cameroon,Africa,2002,15929988
Cameroon,Africa,2007,17696293
Canada,Americas,1952,14785584
Canada,Americas,1957,17010154
Canada,Americas,1962,18985849
Canada,Americas,1967,20819767
Canada,Americas,1972,22284500
Canada,Americas,1977,23796400
Canada,Americas,1982,25201900
Canada,Americas,1987,26549700
Canada,Americas,1992,28523502
Canada,Americas,1997,30305843
Canada,Americas,2002,31902268
Canada,Americas,2007,33390141
Central African Republic,Africa,1952,1291695
Central African Republic,Africa,1957,1392284
Central African Republic,Africa,1962,1523478
Central African Republic,Africa,1967,1733638
Central African Republic,Africa,1972,1927260
Central African Republic,Africa,1977,2167533
Central African Republic,Africa,1982,2476971
Central African Republic,Africa,1987,2840009
Central African Republic,Africa,1992,3265124
Central African Republic,Africa,1997,3696513
Central African Republic,Africa,2002,4048013
Central African Republic,Africa,2007,4369038
Chad,Africa,1952,2682462
Chad,Africa,1957,2894855
Chad,Africa,1962,3150417
Chad,Africa,1967,3495967
Chad,Africa,1972,3899068
Chad,Africa,1977,4388260
Chad,Africa,1982,4875118
Chad,Africa,1987,5498955
Chad,Africa,1992,6429417
Chad,Africa,1997,7562011
Chad,Africa,2002,8835739
Chad,Africa,2007,10238807
Chile,Americas,1952,6377619
Chile,Americas,1957,7048426
Chile,Americas,1962,7961258
Chile,Americas,1967,8858908
Chile,Americas,1972,9717524
Chile,Americas,1977,10599793
Chile,Americas,1982,11487112
Chile,Americas,1987,12463354
Chile,Americas,1992,13572994
Chile,Americas,1997,14599929
Chile,Americas,2002,15497046
Chile,Americas,2007,16284741
China,Asia,1952,556263527
China,Asia,1957,637408000
China,Asia,1962,665770000
China,Asia,1967,754550000
China,Asia,1972,862030000
China,Asia,1977,943455000
China,Asia,1982,1000281000
China,Asia,1987,1084035000
China,Asia,1992,1164970000
China,Asia,1997,1230075000
China,Asia,2002,1280400000
China,Asia,2007,1318683096
Colombia,Americas,1952,12350771
Colombia,Americas,1957,14485993
Colombia,Americas,1962,17009885
Colombia,Americas,1967,19764027
Colombia,Americas,1972,22542890
Colombia,Americas,1977,25094412
Colombia,Americas,1982,27764644
Colombia,Americas,1987,30964245
Colombia,Americas,1992,34202721
Colombia,Americas,1997,37657830
Colombia,Americas,2002,41008227
Colombia,Americas,2007,44227550
Comoros,Africa,1952,153936
Comoros,Africa,1957,170928
Comoros,Africa,1962,191689
Comoros,Africa,1967,217378
Comoros,Africa,1972,250027
Comoros,Africa,1977,304739
Comoros,Africa,1982,348643
Comoros,Africa,1987,395114
Comoros,Africa,1992,454429
Comoros,Africa,1997,527982
Comoros,Africa,2002,614382
Comoros,Africa,2007,710960
"Congo, Dem. Rep.",Africa,1952,14100005
"Congo, Dem. Rep.",Africa,1957,15577932
"Congo, Dem. Rep.",Africa,1962,17486434
"Congo, Dem. Rep.",Africa,1967,19941073
"Congo, Dem. Rep.",Africa,1972,23007669
"Congo, Dem. Rep.",Africa,1977,26480870
"Congo, Dem. Rep.",Africa,1982,30646495
"Congo, Dem. Rep.",Africa,1987,35481645
"Congo, Dem. Rep.",Africa,1992,41672143
"Congo, Dem. Rep.",Africa,1997,47798986
"Congo, Dem. Rep.",Africa,2002,55379852
"Congo, Dem. Rep.",Africa,2007,64606759
"Congo, Rep.",Africa,1952,854885
"Congo, Rep.",Africa,1957,940458
"Congo, Rep.",Africa,1962,1047924
"Congo, Rep.",Africa,1967,1179760
"Congo, Rep.",Africa,1972,1340458
"Congo, Rep.",Africa,1977,1536769
"Congo, Rep.",Africa,1982,1774735
"Congo, Rep.",Africa,1987,2064095
"Congo, Rep.",Africa,1992,2409073
"Congo, Rep.",Africa,1997,2800947
"Congo, Rep.",Africa,2002,3328795
"Congo, Rep.",Africa,2007,3800610
Costa Rica,Americas,1952,926317
Costa Rica,Americas,1957,1112300
Costa Rica,Americas,1962,1345187
Costa Rica,Americas,1967,1588717
Costa Rica,Americas,1972,1834796
Costa Rica,Americas,1977,2108457
Costa Rica,Americas,1982,2424367
Costa Rica,Americas,1987,2799811
Costa Rica,Americas,1992,3173216
Costa Rica,Americas,1997,3518107
Costa Rica,Americas,2002,3834934
Costa Rica,Americas,2007,4133884
Cote d'Ivoire,Africa,1952,2977019
Cote d'Ivoire,Africa,1957,3300000
Cote d'Ivoire,Africa,1962,3832408
Cote d'Ivoire,Africa,1967,4744870
Cote d'Ivoire,Africa,1972,6071696
Cote d'Ivoire,Africa,1977,7459574
Cote d'Ivoire,Africa,1982,9025951
Cote d'Ivoire,Africa,1987,10761098
Cote d'Ivoire,Africa,1992,12772596
Cote d'Ivoire,Africa,1997,14625967
Cote d'Ivoire,Africa,2002,16252726
Cote d'Ivoire,Africa,2007,18013409
Croatia,Europe,1952,3882229
Croatia,Europe,1957,3991242
Croatia,Europe,1962,4076557
Croatia,Europe,1967,4174366
Croatia,Europe,1972,4225310
Croatia,Europe,1977,4318673
Croatia,Europe,1982,4413368
Croatia,Europe,1987,4484310
Croatia,Europe,1992,4494013
Croatia,Europe,1997,4444595
Croatia,Europe,2002,4481020
Croatia,Europe,2007,4493312
Cuba,Americas,1952,6007797
Cuba,Americas,1957,6640752
Cuba,Americas,1962,7254373
Cuba,Americas,1967,8139332
Cuba,Americas,1972,8831348
Cuba,Americas,1977,9537988
Cuba,Americas,1982,9789224
Cuba,Americas,1987,10239839
Cuba,Americas,1992,10723260
Cuba,Americas,1997,10983007
Cuba,Americas,2002,11226999
Cuba,Americas,2007,11416987
Czech Republic,Europe,1952,9125183
Czech Republic,Europe,1957,9513758
Czech Republic,Europe,1962,9620282
Czech Republic,Europe,1967,9835109
Czech Republic,Europe,1972,9862158
Czech Republic,Europe,1977,10161915
Czech Republic,Europe,1982,10303704
Czech Republic,Europe,1987,10311597
Czech Republic,Europe,1992,10315702
Czech Republic,Europe,1997,10300707
Czech Republic,Europe,2002,10256295
Czech Republic,Europe,2007,10228744
Denmark,Europe,1952,4334000
Denmark,Europe,1957,4487831
Denmark,Europe,1962,4646899
Denmark,Europe,1967,4838800
Denmark,Europe,1972,4991596
Denmark,Europe,1977,5088419
Denmark,Europe,1982,5117810
Denmark,Europe,1987,5127024
Denmark,Europe,1992,5171393
Denmark,Europe,1997,5283663
Denmark,Europe,2002,5374693
Denmark,Europe,2007,5468120
Djibouti,Africa,1952,63149
Djibouti,Africa,1957,71851
Djibouti,Africa,1962,89898
Djibouti,Africa,1967,127617
Djibouti,Africa,1972,178848
Djibouti,Africa,1977,228694
Djibouti,Africa,1982,305991
Djibouti,Africa,1987,311025
Djibouti,Africa,1992,384156
Djibouti,Africa,1997,417908
Djibouti,Africa,2002,447416
Djibouti,Africa,2007,496374
Dominican Republic,Americas,1952,2491346
Dominican Republic,Americas,1957,2923186
Dominican Republic,Americas,1962,3453434
Dominican Republic,Americas,1967,4049146
Dominican Republic,Americas,1972,4671329
Dominican Republic,Americas,1977,5302800
Dominican Republic,Americas,1982,5968349
Dominican Republic,Americas,1987,6655297
Dominican Republic,Americas,1992,7351181
Dominican Republic,Americas,1997,7992357
Dominican Republic,Americas,2002,8650322
Dominican Republic,Americas,2007,9319622
Ecuador,Americas,1952,3548753
Ecuador,Americas,1957,4058385
Ecuador,Americas,1962,4681707
Ecuador,Americas,1967,5432424
Ecuador,Americas,1972,6298651
Ecuador,Americas,1977,7278866
Ecuador,Americas,1982,8365850
Ecuador,Americas,1987,9545158
Ecuador,Americas,1992,10748394
Ecuador,Americas,1997,11911819
Ecuador,Americas,2002,12921234
Ecuador,Americas,2007,13755680
Egypt,Africa,1952,22223309
Egypt,Africa,1957,25009741
Egypt,Africa,1962,28173309
Egypt,Africa,1967,31681188
Egypt,Africa,1972,34807417
Egypt,Africa,1977,38783863
Egypt,Africa,1982,45681811
Egypt,Africa,1987,52799062
Egypt,Africa,1992,59402198
Egypt,Africa,1997,66134291
Egypt,Africa,2002,73312559
Egypt,Africa,2007,80264543
El Salvador,Americas,1952,2042865
El Salvador,Americas,1957,2355805
El Salvador,Americas,1962,2747687
El Salvador,Americas,1967,3232927
El Salvador,Americas,1972,3790903
El Salvador,Americas,1977,4282586
El Salvador,Americas,1982,4474873
El Salvador,Americas,1987,4842194
El Salvador,Americas,1992,5274649
El Salvador,Americas,1997,5783439
El Salvador,Americas,2002,6353681
El Salvador,Americas,2007,6939688
Equatorial Guinea,Africa,1952,216964
Equatorial Guinea,Africa,1957,232922
Equatorial Guinea,Africa,1962,249220
Equatorial Guinea,Africa,1967,259864
Equatorial Guinea,Africa,1972,277603
Equatorial Guinea,Africa,1977,192675
Equatorial Guinea,Africa,1982,285483
Equatorial Guinea,Africa,1987,341244
Equatorial Guinea,Africa,1992,387838
Equatorial Guinea,Africa,1997,439971
Equatorial Guinea,Africa,2002,495627
Equatorial Guinea,Africa,2007,551201
Eritrea,Africa,1952,1438760
Eritrea,Africa,1957,1542611
Eritrea,Africa,1962,1666618
Eritrea,Africa,1967,1820319
Eritrea,Africa,1972,2260187
Eritrea,Africa,1977,2512642
Eritrea,Africa,1982,2637297
Eritrea,Africa,1987,2915959
Eritrea,Africa,1992,3668440
Eritrea,Africa,1997,4058319
Eritrea,Africa,2002,4414865
Eritrea,Africa,2007,4906585
Ethiopia,Africa,1952,20860941
Ethiopia,Africa,1957,22815614
Ethiopia,Africa,1962,25145372
Ethiopia,Africa,1967,27860297
Ethiopia,Africa,1972,30770372
Ethiopia,Africa,1977,34617799
Ethiopia,Africa,1982,38111756
Ethiopia,Africa,1987,42999530
Ethiopia,Africa,1992,52088559
Ethiopia,Africa,1997,59861301
Ethiopia,Africa,2002,67946797
Ethiopia,Africa,2007,76511887
Finland,Europe,1952,4090500
Finland,Europe,1957,4324000
Finland,Europe,1962,4491443
Finland,Europe,1967,4605744
Finland,Europe,1972,4639657
Finland,Europe,1977,4738902
Finland,Europe,1982,4826933
Finland,Europe,1987,4931729
Finland,Europe,1992,5041039
Finland,Europe,1997,5134406
Finland,Europe,2002,5193039
Finland,Europe,2007,5238460
France,Europe,1952,42459667
France,Europe,1957,44310863
France,Europe,1962,47124000
France,Europe,1967,49569000
France,Europe,1972,51732000
France,Europe,1977,53165019
France,Europe,1982,54433565
France,Europe,1987,55630100
France,Europe,1992,57374179
France,Europe,1997,58623428
France,Europe,2002,59925035
France,Europe,2007,61083916
Gabon,Africa,1952,420702
Gabon,Africa,1957,434904
Gabon,Africa,1962,455661
Gabon,Africa,1967,489004
Gabon,Africa,1972,537977
Gabon,Africa,1977,706367
Gabon,Africa,1982,753874
Gabon,Africa,1987,880397
Gabon,Africa,1992,985739
Gabon,Africa,1997,1126189
Gabon,Africa,2002,1299304
Gabon,Africa,2007,1454867
Gambia,Africa,1952,284320
Gambia,Africa,1957,323150
Gambia,Africa,1962,374020
Gambia,Africa,1967,439593
Gambia,Africa,1972,517101
Gambia,Africa,1977,608274
Gambia,Africa,1982,715523
Gambia,Africa,1987,848406
Gambia,Africa,1992,1025384
Gambia,Africa,1997,1235767
Gambia,Africa,2002,1457766
Gambia,Africa,2007,1688359
Germany,Europe,1952,69145952
Germany,Europe,1957,71019069
Germany,Europe,1962,73739117
Germany,Europe,1967,76368453
Germany,Europe,1972,78717088
Germany,Europe,1977,78160773
Germany,Europe,1982,78335266
Germany,Europe,1987,77718298
Germany,Europe,1992,80597764
Germany,Europe,1997,82011073
Germany,Europe,2002,82350671
Germany,Europe,2007,82400996
Ghana,Africa,1952,5581001
Ghana,Africa,1957,6391288
Ghana,Africa,1962,7355248
Ghana,Africa,1967,8490213
Ghana,Africa,1972,9354120
Ghana,Africa,1977,10538093
Ghana,Africa,1982,11400338
Ghana,Africa,1987,14168101
Ghana,Africa,1992,16278738
Ghana,Africa,1997,18418288
Ghana,Africa,2002,20550751
Ghana,Africa,2007,22873338
Greece,Europe,1952,7733250
Greece,Europe,1957,8096218
Greece,Europe,1962,8448233
Greece,Europe,1967,8716441
Greece,Europe,1972,8888628
Greece,Europe,1977,9308479
Greece,Europe,1982,9786480
Greece,Europe,1987,9974490
Greece,Europe,1992,10325429
Greece,Europe,1997,10502372
Greece,Europe,2002,10603863
Greece,Europe,2007,10706290
Guatemala,Americas,1952,3146381
Guatemala,Americas,1957,3640876
Guatemala,Americas,1962,4208858
Guatemala,Americas,1967,4690773
Guatemala,Americas,1972,5149581
Guatemala,Americas,1977,5703430
Guatemala,Americas,1982,6395630
Guatemala,Americas,1987,7326406
Guatemala,Americas,1992,8486949
Guatemala,Americas,1997,9803875
Guatemala,Americas,2002,11178650
Guatemala,Americas,2007,12572928
Guinea,Africa,1952,2664249
Guinea,Africa,1957,2876726
Guinea,Africa,1962,3140003
Guinea,Africa,1967,3451418
Guinea,Africa,1972,3811387
Guinea,Africa,1977,4227026
Guinea,Africa,1982,4710497
Guinea,Africa,1987,5650262
Guinea,Africa,1992,6990574
Guinea,Africa,1997,8048834
Guinea,Africa,2002,8807818
Guinea,Africa,2007,9947814
Guinea-Bissau,Africa,1952,580653
Guinea-Bissau,Africa,1957,601095
Guinea-Bissau,Africa,1962,627820
Guinea-Bissau,Africa,1967,601287
Guinea-Bissau,Africa,1972,625361
Guinea-Bissau,Africa,1977,745228
Guinea-Bissau,Africa,1982,825987
Guinea-Bissau,Africa,1987,927524
Guinea-Bissau,Africa,1992,1050938
Guinea-Bissau,Africa,1997,1193708
Guinea-Bissau,Africa,2002,1332459
Guinea-Bissau,Africa,2007,1472041
Haiti,Americas,1952,3201488
Haiti,Americas,1957,3507701
Haiti,Americas,1962,3880130
Haiti,Americas,1967,4318137
Haiti,Americas,1972,4698301
Haiti,Americas,1977,4908554
Haiti,Americas,1982,5198399
Haiti,Americas,1987,5756203
Haiti,Americas,1992,6326682
Haiti,Americas,1997,6913545
Haiti,Americas,2002,7607651
Haiti,Americas,2007,8502814
Honduras,Americas,1952,1517453
Honduras,Americas,1957,1770390
Honduras,Americas,1962,2090162
Honduras,Americas,1967,2500689
Honduras,Americas,1972,2965146
Honduras,Americas,1977,3055235
Honduras,Americas,1982,3669448
Honduras,Americas,1987,4372203
Honduras,Americas,1992,5077347
Honduras,Americas,1997,5867957
Honduras,Americas,2002,6677328
Honduras,Americas,2007,7483763
"Hong Kong, China",Asia,1952,2125900
"Hong Kong, China",Asia,1957,2736300
"Hong Kong, China",Asia,1962,3305200
"Hong Kong, China",Asia,1967,3722800
"Hong Kong, China",Asia,1972,4115700
"Hong Kong, China",Asia,1977,4583700
"Hong Kong, China",Asia,1982,5264500
"Hong Kong, China",Asia,1987,5584510
"Hong Kong, China",Asia,1992,5829696
"Hong Kong, China",Asia,1997,6495918
"Hong Kong, China",Asia,2002,6762476
"Hong Kong, China",Asia,2007,6980412
Hungary,Europe,1952,9504000
Hungary,Europe,1957,9839000
Hungary,Europe,1962,10063000
Hungary,Europe,1967,10223422
Hungary,Europe,1972,10394091
Hungary,Europe,1977,10637171
Hungary,Europe,1982,10705535
Hungary,Europe,1987,10612740
Hungary,Europe,1992,10348684
Hungary,Europe,1997,10244684
Hungary,Europe,2002,10083313
Hungary,Europe,2007,9956108
Iceland,Europe,1952,147962
Iceland,Europe,1957,165110
Iceland,Europe,1962,182053
Iceland,Europe,1967,198676
Iceland,Europe,1972,209275
Iceland,Europe,1977,221823
Iceland,Europe,1982,233997
Iceland,Europe,1987,244676
Iceland,Europe,1992,259012
Iceland,Europe,1997,271192
Iceland,Europe,2002,288030
Iceland,Europe,2007,301931
India,Asia,1952,372000000
India,Asia,1957,409000000
India,Asia,1962,454000000
India,Asia,1967,506000000
India,Asia,1972,567000000
India,Asia,1977,634000000
India,Asia,1982,708000000
India,Asia,1987,788000000
India,Asia,1992,872000000
India,Asia,1997,959000000
India,Asia,2002,1034172547
India,Asia,2007,1110396331
Indonesia,Asia,1952,82052000
Indonesia,Asia,1957,90124000
Indonesia,Asia,1962,99028000
Indonesia,Asia,1967,109343000
Indonesia,Asia,1972,121282000
Indonesia,Asia,1977,136725000
Indonesia,Asia,1982,153343000
Indonesia,Asia,1987,169276000
Indonesia,Asia,1992,184816000
Indonesia,Asia,1997,199278000
Indonesia,Asia,2002,211060000
Indonesia,Asia,2007,223547000
Iran,Asia,1952,17272000
Iran,Asia,1957,19792000
Iran,Asia,1962,22874000
Iran,Asia,1967,26538000
Iran,Asia,1972,30614000
Iran,Asia,1977,35480679
Iran,Asia,1982,43072751
Iran,Asia,1987,51889696
Iran,Asia,1992,60397973
Iran,Asia,1997,63327987
Iran,Asia,2002,66907826
Iran,Asia,2007,69453570
Iraq,Asia,1952,5441766
Iraq,Asia,1957,6248643
Iraq,Asia,1962,7240260
Iraq,Asia,1967,8519282
Iraq,Asia,1972,10061506
Iraq,Asia,1977,11882916
Iraq,Asia,1982,14173318
Iraq,Asia,1987,16543189
Iraq,Asia,1992,17861905
Iraq,Asia,1997,20775703
Iraq,Asia,2002,24001816
Iraq,Asia,2007,27499638
Ireland,Europe,1952,2952156
Ireland,Europe,1957,2878220
Ireland,Europe,1962,2830000
Ireland,Europe,1967,2900100
Ireland,Europe,1972,3024400
Ireland,Europe,1977,3271900
Ireland,Europe,1982,3480000
Ireland,Europe,1987,3539900
Ireland,Europe,1992,3557761
Ireland,Europe,1997,3667233
Ireland,Europe,2002,3879155
Ireland,Europe,2007,4109086
Israel,Asia,1952,1620914
Israel,Asia,1957,1944401
Israel,Asia,1962,2310904
Israel,Asia,1967,2693585
Israel,Asia,1972,3095893
Israel,Asia,1977,3495918
Israel,Asia,1982,3858421
Israel,Asia,1987,4203148
Israel,Asia,1992,4936550
Israel,Asia,1997,5531387
Israel,Asia,2002,6029529
Israel,Asia,2007,6426679
Italy,Europe,1952,47666000
Italy,Europe,1957,49182000
Italy,Europe,1962,50843200
Italy,Europe,1967,52667100
Italy,Europe,1972,54365564
Italy,Europe,1977,56059245
Italy,Europe,1982,56535636
Italy,Europe,1987,56729703
Italy,Europe,1992,56840847
Italy,Europe,1997,57479469
Italy,Europe,2002,57926999
Italy,Europe,2007,58147733
Jamaica,Americas,1952,1426095
Jamaica,Americas,1957,1535090
Jamaica,Americas,1962,1665128
Jamaica,Americas,1967,1861096
Jamaica,Americas,1972,1997616
Jamaica,Americas,1977,2156814
Jamaica,Americas,1982,2298309
Jamaica,Americas,1987,2326606
Jamaica,Americas,1992,2378618
Jamaica,Americas,1997,2531311
Jamaica,Americas,2002,2664659
Jamaica,Americas,2007,2780132
Japan,Asia,1952,86459025
Japan,Asia,1957,91563009
Japan,Asia,1962,95831757
Japan,Asia,1967,100825279
Japan,Asia,1972,107188273
Japan,Asia,1977,113872473
Japan,Asia,1982,118454974
Japan,Asia,1987,122091325
Japan,Asia,1992,124329269
Japan,Asia,1997,125956499
Japan,Asia,2002,127065841
Japan,Asia,2007,127467972
Jordan,Asia,1952,607914
Jordan,Asia,1957,746559
Jordan,Asia,1962,933559
Jordan,Asia,1967,1255058
Jordan,Asia,1972,1613551
Jordan,Asia,1977,1937652
Jordan,Asia,1982,2347031
Jordan,Asia,1987,2820042
Jordan,Asia,1992,3867409
Jordan,Asia,1997,4526235
Jordan,Asia,2002,5307470
Jordan,Asia,2007,6053193
Kenya,Africa,1952,6464046
Kenya,Africa,1957,7454779
Kenya,Africa,1962,8678557
Kenya,Africa,1967,10191512
Kenya,Africa,1972,12044785
Kenya,Africa,1977,14500404
Kenya,Africa,1982,17661452
Kenya,Africa,1987,21198082
Kenya,Africa,1992,25020539
Kenya,Africa,1997,28263827
Kenya,Africa,2002,31386842
Kenya,Africa,2007,35610177
"Korea, Dem. Rep.",Asia,1952,8865488
"Korea, Dem. Rep.",Asia,1957,9411381
"Korea, Dem. Rep.",Asia,1962,10917494
"Korea, Dem. Rep.",Asia,1967,12617009
"Korea, Dem. Rep.",Asia,1972,14781241
"Korea, Dem. Rep.",Asia,1977,16325320
"Korea, Dem. Rep.",Asia,1982,17647518
"Korea, Dem. Rep.",Asia,1987,19067554
